,FeatureImportance
Age,0.2501273748558827
Price,0.593303032187117
Gender_Female,0.011774517056414304
Gender_Male,0.012528073119458737
Race_Asian / Pacific Islander,0.04406161571817123
Race_Filipino White Spanish,0.012873271415134077
Race_Hispanic or Latino,0.0011858978796788103
Race_White,0.07414621776814323
R Square,0.519717313908012
